#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
mexikha_offmap_boon_decisions_enabled_trigger_cd_tt;Has NOT requested a boon from §Y[Root.Offmap.Ruler.GetShortMexikhanHuetlatoaniName]§! within the last year\n;;;;;;;;;;;;;x
mexikha_offmap_tribute_decisions_enabled_trigger_cd_tt;Has NOT sent tribute to §Y[Root.Offmap.Ruler.GetShortMexikhanHuetlatoaniName]§! within the last year\n;;;;;;;;;;;;;x
mexikha_boon_available_tt;§Y[Root.Offmap.Ruler.GetMediumMexikhanHuetlatoaniName]§! has NOT granted you a boon within the last year;;;;;;;;;;;;;x
mexikha_tribute_available_tt;Paying tribute to §Y[Root.Offmap.Ruler.GetMediumMexikhanHuetlatoaniName]§! is currently available.;;;;;;;;;;;;;;x
peace_deal_with_mexikha;Peace Deal With Mexikha;;;;;;;;;;;;;x
peace_deal_with_mexikha_desc;Mexikha will not attack this ruler while the peace deal is active.;;;;;;;;;;;;;x

mexikha_offmap_decisions_enabled_trigger_war_tt;Is at peace with §Y[From.GetTitledFirstName]§!;;;;;;;;;;;;;;x

tributaries_of_MP;Imperial Tributary;Tributaire impérial;Kaiserlicher Tributstaat;;Tributario imperial;;;;;;;;;x
obsidian_mexikha_full;Obsidian Empire;;;;;;;;;;;;;;x
tlapanec_mexikha;Tlapanec;;;;;;;;;;;;;;x
tlapanec_mexikha_full;Tlapanec Empire;;;;;;;;;;;;;;x
coixtlahuaca_mexikha;Coixtlahuaca;;;;;;;;;;;;;;x
coixtlahuaca_mexikha_full;Coixtlahuaca Empire;;;;;;;;;;;;;;x
viking_mexikha;Vínlandia;;;;;;;;;;;;;;x
viking_mexikha_full;Vínland Empire;;;;;;;;;;;;;;x
denmark_mexikha;Secret Denmark;;;;;;;;;;;;;;x
denmark_mexikha_full;Secret Denmark;;;;;;;;;;;;;;x
#yin_china;Yin;Chine Yin;Yin;;Yin;;;;;;;;;x
yin_mexikha_full;Yin Empire;;;;;;;;;;;;;;x
lemuria_mexikha;Kumarinadu;;;;;;;;;;;;;;x
lemuria_mexikha_full;Kumarinadu Empire;;;;;;;;;;;;;;x
huastec_mexikha;Huastec;;;;;;;;;;;;;;x
huastec_mexikha_full;Huastec Empire;;;;;;;;;;;;;;x
tarascan_mexikha;Tarascan;;;;;;;;;;;;;;x
tarascan_mexikha_full;Tarascan Empire;;;;;;;;;;;;;;x
teotitlan_mexikha;Teotitlan;;;;;;;;;;;;;;x
teotitlan_mexikha_full;Teotitlan Empire;;;;;;;;;;;;;;x
totonac_mexikha;Totonac;;;;;;;;;;;;;;x
totonac_mexikha_full;Totonac Empire;;;;;;;;;;;;;;x
itza_mexikha;Chichen Itza;;;;;;;;;;;;;;x
itza_mexikha_full;Chichen Itza Empire;;;;;;;;;;;;;;x
guamar_mexikha;Guamar;;;;;;;;;;;;;;x
guamar_mexikha_full;Guamar Empire;;;;;;;;;;;;;;x
otomi_mexikha;Otomi;;;;;;;;;;;;;;x
otomi_mexikha_full;Otomi Empire;;;;;;;;;;;;;;x
colima_mexikha;Colima;;;;;;;;;;;;;;x
colima_mexikha_full;Colima Empire;;;;;;;;;;;;;;x
tonala_mexikha;Tonala;;;;;;;;;;;;;;x
tonala_mexikha_full;Tonala Empire;;;;;;;;;;;;;;x
xalisco_mexikha;Xalisco;;;;;;;;;;;;;;x
xalisco_mexikha_full;Xalisco Empire;;;;;;;;;;;;;;x
kiche_mexikha;Kiche;;;;;;;;;;;;;;x
kiche_mexikha_full;Kiche Empire;;;;;;;;;;;;;;x
chichimeca_mexikha;Chichimeca;;;;;;;;;;;;;;x
chichimeca_mexikha_full;Chichimeca Empire;;;;;;;;;;;;;;x

TITLE_TLACOCHCALCATL;Tlacochcalcatl;Tlacochcalcatl;Tlacochcalcatl;;Tlacochcalcatl;;;;;;;;;x

mexikha_open;Open;;;;;;;;;;;;;;x
mexikha_open_desc;Mexikha is currently open to tribute and interested in acquiring tributaries within its sphere of influence.;;;;;;;;;;;;;;x
mexikha_open_effect_desc;\n;;;;;;;;;;;;;;x
mexikha_isolationist;Isolationist;;;;;;;;;;;;;;x
mexikha_isolationist_desc;Mexikha has turned inward and is mostly ignoring its neighbors. All actions to gain the Huetlatoani's Antilytron or request boons are invalid. New Tributary states will likely not be accepted.;;;;;;;;;;;;;;x
mexikha_isolationist_effect_desc;§Y*§! Mexikha will §YNOT§! declare any wars\n§Y*§! The §YSend Tribute§! and §YRequest Boon§! decisions are §RDisabled§!;;;;;;;;;;;;;;x
mexikha_expansionist;Expansionist;;;;;;;;;;;;;;x
mexikha_expansionist_desc;The Huetlatoani is showing a rare interest in the rest of the world. Mexikha might aggressively seek to gain new Tributary states, or even stage a major invasion to 'pacify the New World'.;;;;;;;;;;;;;;x
mexikha_expansionist_effect_desc;§Y*§! Mexikha might stage §YMajor Invasions§!;;;;;;;;;;;;;;x
mexikha_stable;Stable;;;;;;;;;;;;;;x
mexikha_stable_desc;The [Root.GetName] is experiencing a period of internal stability. Without any large-scale disasters or powerful enemies prosperity is able to spread, and the military might of Mexikha stands ready to defend both its own wealth and its integral territories.;;;;;;;;;;;;;;x
mexikha_stable_effect_desc;\n;;;;;;;;;;;;;;x
mexikha_unrest;Unrest;;;;;;;;;;;;;;x
mexikha_unrest_desc;Civil unrest runs rampant in the [Root.GetName], and it has thrown the trade routes with Mexikha into disarray. Mexikha's armies are occupied internally in an attempt to keep the peace, and unless the unrest is quelled soon a full-blown civil war may well erupt at any moment.;;;;;;;;;;;;;;x
mexikha_unrest_effect_desc;§Y*§! This Status might result in a §RCivil War§!;;;;;;;;;;;;;;x
mexikha_civil_war;Civil War;;;;;;;;;;;;;;x
mexikha_civil_war_desc;Civil war has erupted in the [Root.GetName], and trade with Mexikha suffers as a result. The Empire's armies are arrayed against one another, and the ruling dynasty itself is threatened.;;;;;;;;;;;;;;x
mexikha_civil_war_effect_desc;§Y*§! Imperial Tributaries can Break Free without opposition from Mexikha\n§Y*§! Might end with Mexikha getting a §RNew Dynasty§!, resetting all §YAntilytron§!;;;;;;;;;;;;;;x
mexikha_famine;Great Famine;;;;;;;;;;;;;;x
mexikha_famine_desc;A disastrous harvest has caused the Mexikhan agriculture to buckle under the population. The calamity has caused most trade to cease, and even as their numbers dwindle, the [offmap_mexikha.GetName]'s once-mighty armies have been burdened with relief efforts for the suffering.;;;;;;;;;;;;;;x
mexikha_famine_effect_desc;\n;;;;;;;;;;;;;;x
mexikha_golden_age;Golden Age;;;;;;;;;;;;;;x
mexikha_golden_age_desc;The [Root.GetName] has reached untold power and wealth. A Huetlatoani of Mexikha in this Golden Age may well rightfully consider [Root.Ruler.GetHerselfHimself] the [Root.Ruler.GetMasterMistress] of the known world.;;;;;;;;;;;;;;x
mexikha_golden_age_effect_desc;§Y*§! The armies of Mexikha are significantly stronger;;;;;;;;;;;;;;x
mexikha_plague;Devastating Plague;;;;;;;;;;;;;;x
mexikha_plague_desc;A terrible disease wracks the [Root.GetName], leaving thousands lying dead in its wake. Trade has ground to a halt as the Mexikhan economy has been forced to its knees, and even the Empire's armies have been decimated to but a shadow of their former glory.;;;;;;;;;;;;;;x
mexikha_plague_effect_desc;\n;;;;;;;;;;;;;;x

mexikha_norse_invasion;Being Invaded by Vikings;;;;;;;;;;;;;;x
mexikha_norse_invasion_desc;An enormous warband of Vikings has descended upon Mexikha from the North. The mighty Mexikhan armies are preoccupied with a desperate defense against the fierce invaders. Should the Vikings triumph, it is possible that scions of the current Dynasty may flee with the remnants of their forces.;;;;;;;;;;;;;;x
mexikha_norse_invasion_effect_desc;§Y*§! Might end with Mexikha getting a §RNew Dynasty§!, resetting all §YAntilytron§!;;;;;;;;;;;;;;x
mexikha_inca_invasion;Being Invaded by Incas;;;;;;;;;;;;;;x
mexikha_inca_invasion_desc;An enormous Inca army has descended upon Mexikha from the South. The mighty Mexikhan armies are preoccupied with a desperate defense against the fierce invaders. Should the Inca triumph, it is possible that scions of the current Dynasty may flee with the remnants of their forces.;;;;;;;;;;;;;;x
mexikha_inca_invasion_effect_desc;§Y*§! Might end with Mexikha getting a §RNew Dynasty§!, resetting all §YAntilytron§!;;;;;;;;;;;;;;x

likes_horse;[horse.GetGroupName];;;;;;;;;;;;;;x
likes_norses;[norse_pagan.GetName]s;la religion [norse_pagan.GetName];[norse_pagan.GetName]e Gläubige;;[norse_pagan.GetName]s;;;;;;;;;x
likes_voodoos;[west_african_pagan.GetName]s;la religion [west_african_pagan.GetName];[west_african_pagan.GetName]e Gläubige;;[west_african_pagan.GetName]s;;;;;;;;;x

String_Iso_Tomato_Gardens;focus on the imperial tomatl gardens;;;;;;;;;;;;;;x
String_Iso_Painting;practice the art of manuscript painting;;;;;;;;;;;;;;x
String_Iso_Monroe;contemplate the wisdom of Master Mon'Roe;;;;;;;;;;;;;;x
String_Iso_Codex_Tonalpohualli;divine the secrets of the Tonalpohualli;;;;;;;;;;;;;;x

OFFMAP_MEXIKHA_GIFTS_DESC;If the §Y[offmap_mexikha.GetName]§! is amenable to foreign relations you can send an envoy to provide the Huetlatoani with a token of your subservience. Paying Tribute will increase your §YAntilytron§!.;;;;;;;;;;;;;;x
OFFMAP_MEXIKHA_HOSTILE_DESC;You can take certain hostile actions against the [offmap_mexikha.GetFullName] but be wary as the [offmap_mexikha.Ruler.GetTlatoaniCihuatlatoaniCap] is unlikely to tolerate such behavior. Taking Hostile Actions will likely §RAnger Mexikha§!.;;;;;;;;;;;;;;x
OFFMAP_MEXIKHA_BOONS_DESC;If the §Y[offmap_mexikha.GetName]§! is amenable to foreign relations, and you have not yet had your appeals heard in the past year, you can send an envoy to request any one of a variety of blessings the Huetlatoani might deem you worthy of. Asking for Boons costs §YAntilytron§!.;;;;;;;;;;;;;;x

mexikhan_grace_peace_deal;Request a Peace Deal;;;;;;;;;;;;;;x
mexikhan_grace_peace_deal_desc;Send a request to §Y[Root.Offmap.Ruler.GetMediumMexikhanHuetlatoaniName]§!, asking for peaceful relations with the §Y[Root.Offmap.GetFullName]§! and its §Y[Root.Offmap.Governor.GetTitle]§!. Having a §YPeace Deal§! ensures that the §Y[Root.Offmap.GetFullName]§! does not target your realm should they go on the warpath.;;;;;;;;;;;;;;x
mexikhan_grace_peace_deal_effect_tt;\nDuring the peace deal, the §Y[Root.Offmap.GetFullName]§! and its §Y[Root.Offmap.Governor.GetTitle]§! will not declare war on you. It will last for §Y50§! years or until the dynasty of the [Root.Offmap.Ruler.GetTitle], [Root.Offmap.Ruler.GetOnlyDynastyName], ends.;;;;;;;;;;;;;;x
mexikhan_grace_peace_deal_allow_tt;Does NOT have a non-aggression pact or peace deal with the §Y[Root.Offmap.GetFullName]§! and its §Y[Root.Offmap.Governor.GetTitle]§!\n;;;;;;;;;;;;;;x

mexikhan_grace_become_tributary;Become Tributary;;;;;;;;;;;;;;x
mexikhan_grace_become_tributary_desc;Pledge your allegiance to §Y[Root.Offmap.Ruler.GetMediumMexikhanHuetlatoaniName]§!.;;;;;;;;;;;;;;x
mexikhan_grace_become_tributary_effect_TT;In exchange for §R50% income§!, §R30% troop reinforcement rate§! and §R[GetChineseOffmapTributaryPrestigeCost]§!, receive §G2 Antilytron per month§!.\nThese effects last until the end of the Empire's §Yruling dynasty§!, or until §Yyou declare independence§! (through war, or decision in the Intrigue screen).\n;;;;;;;;;;;;;;x
mexikhan_grace_become_tributary_allow_governor_neighbor_tt;Has a realm county bordering the [Root.PrimaryTitle.GetFullName]\n;;;;;;;;;;;;;;x
mexikhan_grace_become_tributary_allow_tributary_neighbor_tt;Has a realm county bordering a nation which is a tributary of the [Root.Offmap.GetFullName]\n;;;;;;;;;;;;;;x
mexikhan_grace_become_tributary_allow_western_border_tt;Has a realm county bordering Western edge of the map\n;;;;;;;;;;;;;;x
mexikhan_grace_become_tributary_allow_iberia_tt;Has a coastal realm county in South-Western Coast of Iberia\n;;;;;;;;;;;;;;x
mexikhan_grace_become_tributary_allow_suzerain_tt;Does NOT already have a suzerain\n;;;;;;;;;;;;;;x
mexikhan_grace_become_tributary_allow_mexikhan_influence_tt;Has a realm county in the Mexikhan Region of Influence\n;;;;;;;;;;;;;;x
mexikhan_tribute_become_tributary_cooldown_tt;Has NOT broken free from being a tributary in 30 years;;;;;;;;;;;;;;x

mexikhan_grace_doctor;Request Mexikhan Physician;;;;;;;;;;;;;;x
mexikhan_grace_doctor_desc;The §Y[Root.Offmap.GetFullName]§! is famed for their learned citizens. You can request to have one of these scholars come to your court and serve as your personal physician. This character always has the §YPhysician§! trait.;;;;;;;;;;;;;;x
mexikhan_grace_doctor_allow_tt;Does NOT have a Court Physician;;;;;;;;;;;;;;x

mexikhan_master_mason;Request Master Mason;;;;;;;;;;;;;;x
mexikhan_master_mason_desc;The §Y[Root.Offmap.GetFullName]§! is the cradle of countless wonders of technology. You can request to have a Mexikhan master mason join your court. A §YMaster Mason§! will improve your demesne with powerful §GProvince Modifiers§!.;;;;;;;;;;;;;;x
mexikhan_master_mason_allow_tt;Does NOT have a Master Mason;;;;;;;;;;;;;;x
mexikhan_master_mason_effect_tt;A master engineer will join your court. While employed, they will build constructions and machines throughout your demesne, adding various bonuses to your economy, military, and technology.;;;;;;;;;;;;;;x
ssi_mexikhan_master_mason;Master Mason;;;;;;;;;;;;;;x
ssi_mexikhan_master_mason_desc;This character is a well of theoretical knowledge used to invent and design all sorts of structures and machines, as well as the practical know-how required to construct them.;;;;;;;;;;;;;;x

ssi_master_mason;Master Mason;;;;;;;;;;;;;;x
ssi_master_mason_desc;Master Mason;This character is a well of theoretical knowledge used to invent and design all sorts of stone structures, as well as the practical know-how required to construct them.;;;;;;;;;;;;;;x
ssi_terraced_field;Terraced Field;;;;;;;;;;;;;;x
ssi_terraced_field_desc;Sloped plane of this province has been cut into a series of successively receding flat surfaces or platforms, which resemble steps, for the purposes of more effective farming.;;;;;;;;;;;;;;x
ssi_telpochcalli;Telpochcalli;;;;;;;;;;;;;;x
ssi_telpochcalli_desc;Telpochcalli were centers where lowborn youth were educated. Students who excelled in skill and courage could someday become distinguished citizens.;;;;;;;;;;;;;;x
ssi_dry_docks;Dry Dock;Cale sèche;Trockendock;;Dique seco;;;;;;;;;x
ssi_dry_docks_desc;The dry dock in the port of this province makes the construction, maintenance and repairs of ships significantly easier.;La cale sèche du port de cette province facilite considérablement la construction, l'entretien et la réparation des navires.;Das Trockendock im Hafen dieser Provinz macht den Bau, die Wartung und die Reparatur von Schiffen deutlich einfacher.;;El dique seco en el puerto de esta provincia facilita sobremanera la construcción, mantenimiento y reparación de naves.;;;;;;;;;x
ssi_tzompantli_ballcourt;Stone ballcourt;;;;;;;;;;;;;;x
ssi_tzompantli_ballcourt_desc;A long narrow playing alley flanked by stone walls with both horizontal and sloping, ballcourts were public spaces used for a variety of ritual activities, festivals and, of course, the ballgame.
ssi_reservoir;Reservoir;;;;;;;;;;;;;;x
ssi_reservoir_desc;This artificial pond provides vast body of water, which may be released into canals for use in farmlands;;;;;;;;;;;;;;x

mexikhan_triangular_trade_route_favored_status;Request Trade Contract;;;;;;;;;;;;;;x
mexikhan_triangular_trade_route_favored_status_desc;By requesting the Imperial seal our trade posts will attract merchants from far and wide to trade in exotic goods. Having an §YImperial Trade Contract§! will boost the value of your §YTriangular Trade Route Trade Posts§! by §G25§! for §Y25 years§!.;;;;;;;;;;;;;;x
tooltip_triangular_trade_route_required;Must have a realm province located on the Triangular Trade Route;;;;;;;;;;;;;;x
mexikhan_imperial_trade_contract;Imperial Trade Contract;;;;;;;;;;;;;;x
mexikhan_triangular_trade_route_favored_status_modifier_tt;All trade post provinces in the realm of §Y[From.PrimaryTitle.GetName]§! gains §G25%§! increased trade income for 25 years.;;;;;;;;;;;;;;x
mexikhan_favored_in_trade;Favored on the Triangular Trade Route;;;;;;;;;;;;;;x
mexikhan_favored_in_trade_desc;Thanks to their liege taking control of the Triangular Trade Route, the traders in these lands are enjoying the profits of being favored in all trade deals.;;;;;;;;;;;;;;x

mexikhan_artifact;Request Mexikhan Artifact;;;;;;;;;;;;;;x
mexikhan_artifact_desc;The craftsmen and artists of the §Y[Root.Offmap.GetFullName]§! are famed for creating masterful and beautiful art. You can request to have one of these artifacts sent to you. You will receive a random artifact ranging from quality §Y1§! to §Y3§!.;;;;;;;;;;;;;;x
mexikhan_artifact_has_all_tt;Does NOT already have all Mexikhan artifacts ranging from quality §Y1§! to §Y3§!;;;;;;;;;;;;;;x
mexikhan_artifact_effect_tt;You will receive a §YMexikhan Artifact§!!;;;;;;;;;;;;;;x

mexikhan_imperial_marriage;Request Imperial Marriage;;;;;;;;;;;;;;x
mexikhan_imperial_marriage_desc;The ones truly favored by §Y[Root.Offmap.Ruler.GetMediumMexikhanHuetlatoaniName]§! can, on behalf of themselves or a close relative, request to marry a relative of the Huetlatoani's. Performing an §YImperial Marriage§! will grant you §G500§! §YPrestige§! as well as give you a §GPeace Treaty§! with Mexikha. The spouse of a Princess or Prince will be able to raise a regiment of §GHonor Guards§! when at war.;;;;;;;;;;;;;;x
mexikhan_imperial_marriage_prince_effect_tt;A prince of the §Y[Root.Offmap.GetFullName]§! arrives to marry §Y[FromFrom.GetTitledFirstName]§!.;;;;;;;;;;;;;;x
mexikhan_imperial_marriage_princess_effect_tt;A princess of the §Y[Root.Offmap.GetFullName]§! arrives to marry §Y[FromFrom.GetTitledFirstName]§!.;;;;;;;;;;;;;;x
ssi_mexikhan_prince;Mexikhan Prince;;;;;;;;;;;;;;x
ssi_mexikhan_prince_desc;This man is a prince of the Mexikhan imperial family.;;;;;;;;;;;;;;x
ssi_mexikhan_princess;Mexikhan Princess;;;;;;;;;;;;;;x
ssi_mexikhan_princess_desc;This woman is a princess of the Mexikhan imperial family.;;;;;;;;;;;;;;x
can_marry_mexikhan_imperial_tt;Is eligible for marriage;;;;;;;;;;;;;;x
mexikhan_imperial_marriage_peace_deal_tt;You will enter into a peace deal with the §Y[offmap_mexikha.GetFullName]§!.;;;;;;;;;;;;;;x
mexikhan_imperial_marriage_peace_deal_effect_tt;This marriage will secure a peace deal during which the §Y[offmap_mexikha.GetFullName]§! and its §Y[offmap_mexikha.Governor.GetTitle]§! will not declare war on you. It will last for §Y50§! years or until the dynasty of the [offmap_mexikha.Ruler.GetTitle], [offmap_mexikha.Ruler.GetOnlyDynastyName], ends.;;;;;;;;;;;;;;x

mexikhan_request_invasion;Request Invasion;;;;;;;;;;;;;;x
mexikhan_request_invasion_desc;Ask the §Y[Root.Offmap.GetFullName]§! to declare war on another ruler with the intent of shattering their realm. If the war succeeds, any §YKingdoms or Empires§! held by the target will be §Rforcibly destroyed§!. Mexikha only attacks realms of either §YKing or Empire tier§! which contain at least §Y40 Counties§!, as anything else would be too menial for them.;;;;;;;;;;;;;;x
mexikhan_request_invasion_rel_head_tt;Does NOT hold a religious head title that is higher tier than §YDuke§!;;;;;;;;;;;;;;x
mexikhan_request_invasion_defeated_mexikha_tt;Has NOT defeated Mexikha in a war;;;;;;;;;;;;;;x

raise_mexikhan_honor_guard;Raise Mexikhan Honor Guard;;;;;;;;;;;;;;x
raise_mexikhan_honor_guard_desc;As you, or one of our unlanded dynasty members that are in your court, are married to a Imperial Princess or Prince, you can raise their Honor Guard to fight for you in your current war.;;;;;;;;;;;;;;x
raise_mexikhan_honor_guard_TT;Has NOT raised the Honor Guard in the past year;;;;;;;;;;;;;;x

raise_mexikhan_regiment;Raise Mexikhan Regiment;;;;;;;;;;;;;;x
raise_mexikhan_regiment_desc;Tributaries of Mexikha can raise a special regiment of Mexikhan troops to assist them in defensive wars.;;;;;;;;;;;;;;x
raise_mexikhan_regiment_TT;Must NOT have raised a Mexikhan Regiment in the last year;;;;;;;;;;;;;;x

mexikhan_grace_offer_eunuch;Send a Eunuch;;;;;;;;;;;;;;x
mexikhan_grace_offer_eunuch_desc;Offer up one of your courtiers, to be sent to live out their life in the §Y[Root.Offmap.GetFullName]§!, in the service of the Huetlatoani.\n;;;;;;;;;;;;;;x
mexikha_tribute_send_eunuch_stats_tt;Has an attribute greater than or equal to §Y20§!;;;;;;;;;;;;;;x
mexikha_tribute_send_eunuch_congenital_tt;Has a §Ypositive§! congenital trait;;;;;;;;;;;;;;x
mexikha_tribute_send_eunuch_non_inherit_congenital_tt;Has a §Ypositive§! non-inheritable congenital trait;;;;;;;;;;;;;;x
mexikha_tribute_send_eunuch_cooldown_tt;Has NOT sent a eunuch in 20 years;;;;;;;;;;;;;;x

mexikhan_grace_offer_physician;Send a Physician;;;;;;;;;;;;;;x
mexikhan_grace_offer_physician_desc;As the §Y[Root.Offmap.GetFullName]§! is being ravaged by a devastating plague, you can offer to send a medically-schooled individual to go and protect the Huetlatoani from disease and infection. This interaction can only be taken once per character.;;;;;;;;;;;;;;x
mexikha_tribute_send_physician_tt;Has NOT sent a physician already;;;;;;;;;;;;;;x

mexikhan_grace_offer_artifact;Send Artifact;;;;;;;;;;;;;;x
mexikhan_grace_offer_artifact_desc;Send an invaluable artifact to §Y[Root.Offmap.Ruler.GetMediumMexikhanHuetlatoaniName]§!.;;;;;;;;;;;;;;x
mexikha_tribute_send_artifact_cooldown_tt;Has NOT sent an artifact in 10 years;;;;;;;;;;;;;;x
mexikha_send_artifact_potential_tt;Is a high quality artifact (that is NOT cursed or from Mexikha);;;;;;;;;;;;;;x

mexikhan_grace_offer_concubine;Send a Concubine;;;;;;;;;;;;;;x
mexikhan_grace_offer_concubine_desc;Offer up one of your courtiers, to be sent to live out their life in the §Y[Root.Offmap.GetFullName]§!, in the service of the Huetlatoani.\n;;;;;;;;;;;;;;x
mexikha_tribute_send_concubine_preference_tt;Is desired by the §Y[offmap_mexikha.Ruler.GetTlatoaniCihuatlatoaniCap]§!;;;;;;;;;;;;;;x
mexikha_tribute_send_concubine_cooldown_tt;Has NOT sent a concubine in 20 years;;;;;;;;;;;;;;x

mexikhan_grace_send_gift;Send Gift;;;;;;;;;;;;;;x
mexikhan_grace_send_gift_desc;Send a gift of coin to §Y[Root.Offmap.Ruler.GetMediumMexikhanHuetlatoaniName]§!.;;;;;;;;;;;;;;x
mexikhan_grace_send_gift_allow_tt;Has NOT gifted money to the §Y[Root.Offmap.Ruler.GetShortMexikhanHuetlatoaniName]§! within the last 15 years;;;;;;;;;;;;;;x

mexikhan_grace_offer_eunuch_third_party;§YEunuch Requirements§!:;;;;;;;;;;;;;;x
mexikhan_grace_offer_physician_third_party;§YPhysician Requirements§!:;;;;;;;;;;;;;;x
mexikhan_grace_offer_artifact_third_party;§YArtifact Requirements§!:;;;;;;;;;;;;;;x
mexikhan_grace_offer_concubine_third_party;§YConcubine Requirements§!:;;;;;;;;;;;;;;x
mexikhan_imperial_marriage_third_party;§YSpouse Requirements§!:;;;;;;;;;;;;;;x
mexikhan_request_invasion_third_party;§YInvasion Target Requirements§!:;;;;;;;;;;;;;;x
mexikha_invade_skull_throne_third_party;§YClaimant Requirements§!:;;;;;;;;;;;;;;x

mexikha_raid;Raid the [offmap_mexikha.GetFullName];;;;;;;;;;;;;;x
mexikha_raid_desc;The §Y[Root.Offmap.GetFullName]§! is overburdened with riches - why should we vie for the Huetlatoani's grace when we could just take whatever we want!\n\nTaking this decision will temporarily §Rdisable§! all §YPay Tribute§! and §YAsk for Boon§! interactions for as long as the raid persists, and then five years after that. While Raiding Mexikha you will lose Antilytron but gain loot and spoils every year, a portion of your soldiers will also be unavailable for the duration of the raid.;;;;;;;;;;;;;;x
mexikha_raid_active;Raiding Mexikha;;;;;;;;;;;;;;x
